t,x,y,v,theta,cte,steer_deg,accel
5.76,30.0074,5.09179,6.15439,0.6196,4.1943,-25.9103,3
5.78,30.1088,5.16249,6.21439,0.597346,4.22197,-25.9103,3
5.8,30.2129,5.23156,6.27439,0.574875,4.25464,-28.5268,3
5.82,30.3196,5.29877,6.33439,0.549491,4.28115,-28.5268,3
5.84,30.429,5.36385,6.39439,0.523866,4.31462,-28.5268,3
5.86,30.541,5.42668,6.45439,0.497999,4.35506,-28.5268,3
5.88,30.6558,5.48713,6.51439,0.47189,4.40244,-28.5268,2.92419
5.9,30.7731,5.54508,6.57288,0.445543,4.44485,-30.023,2.83026
5.92,30.893,5.60028,6.62948,0.417286,4.4927,-30.023,2.71722
5.94,31.0155,5.6525,6.68383,0.388791,4.54777,-30.023,2.60868
5.96,31.1404,5.70158,6.736,0.360068,4.60991,-30.023,2.50449
5.98,31.2676,5.74738,6.78609,0.331127,4.66664,-30.023,2.29321
6,31.397,5.78977,6.83196,0.30198,4.73009,-30.023,2.20158
6.02,31.5285,5.82862,6.87599,0.27264,4.80046,-30.023,2.11365
6.04,31.6618,5.8638,6.91826,0.243116,4.87343,23.4163,1.76153
6.06,31.7961,5.89868,6.95349,0.265367,4.94225,23.4163,1.6911
6.08,31.9302,5.93675,6.98731,0.287727,5.01166,23.4163,1.62356
6.1,32.0641,5.978,7.01978,0.310195,5.08018,21.0395,1.19414
6.12,32.1975,6.02227,7.04367,0.33023,5.13861,21.0395,1.14634
6.14,32.3306,6.06936,7.06659,0.350332,5.19785,21.0395,1.10056
6.16,32.463,6.11928,7.0886,0.370498,5.2529,19.2056,0.809763
6.18,32.5948,6.17188,7.1048,0.38881,5.30126,19.2056,0.777355
6.2,32.726,6.22701,7.12035,0.407163,5.35007,19.4646,0.812355
6.22,32.8563,6.28469,7.13659,0.425825,5.38749,-30.023,0.779925
6.24,32.9874,6.34171,7.15219,0.395243,5.42929,-30.023,0.748774
6.26,33.1203,6.39481,7.16717,0.364595,5.46748,-30.023,0.917146
6.28,33.2552,6.44392,7.18551,0.333875,5.51155,-30.023,0.880565
6.3,33.3918,6.48897,7.20312,0.303079,5.56322,-30.023,0.734948
6.32,33.5301,6.52988,7.21782,0.272214,5.6095,-30.023,0.705564
6.34,33.6699,6.56658,7.23193,0.241287,5.66333,-30.023,0.677382
6.36,33.811,6.59899,7.24548,0.210301,5.72448,29.3366,0.650326
6.38,33.9523,6.6314,7.25849,0.240491,5.78768,30.023,-0.282429
6.4,34.0927,6.66815,7.25284,0.27155,5.83869,30.023,-0.271386
6.42,34.2318,6.7092,7.24741,0.302585,5.88861,30.023,-0.260547
6.44,34.3694,6.75452,7.2422,0.333597,5.93742,30.023,-0.25014
6.46,34.5054,6.80404,7.2372,0.364588,5.9851,30.023,-0.240149
6.48,34.6398,6.85772,7.23239,0.395557,6.028,30.023,-1.88817
6.5,34.7721,6.91535,7.19463,0.426436,6.06113,30.023,-1.81319
6.52,34.9018,6.97672,7.15837,0.457156,6.09302,30.023,-1.74076
6.54,35.029,7.04171,7.12355,0.487723,6.12367,30.023,-1.67123
6.56,35.1535,7.11022,7.09013,0.518145,6.15311,30.023,-1.60448
6.58,35.2753,7.18214,7.05804,0.548427,6.18133,30.023,-1.54039
6.6,35.3944,7.25737,7.02723,0.578574,6.20156,30.023,-3.49955
6.62,35.5103,7.33558,6.95724,0.608505,6.21578,30.023,-3.3603
6.64,35.6228,7.41641,6.89003,0.638142,6.22883,30.023,-3.22608
6.66,35.7317,7.49972,6.82551,0.667498,6.24074,30.023,-3.09723
6.68,35.8372,7.58538,6.76357,0.696583,6.25153,30.023,-2.97352
6.7,35.9392,7.67327,6.7041,0.725408,6.26124,30.023,-2.85475
6.72,36.0379,7.76326,6.647,0.753984,6.26988,30.023,-2.74072
6.74,36.1331,7.85524,6.59219,0.78232,6.2719,30.023,-4.4342
6.76,36.2246,7.94885,6.5035,0.810349,6.26803,30.023,-4.25756
6.78,36.3124,8.04369,6.41835,0.838005,6.26329,30.023,-4.0875
6.8,36.3964,8.13965,6.3366,0.865305,6.25772,30.023,-3.92424
6.82,36.4768,8.23662,6.25812,0.892262,6.25136,30.023,-3.76749
6.84,36.5536,8.3345,6.18277,0.918889,6.24422,30.023,-3.61701
6.86,36.6269,8.43319,6.11043,0.9452,6.23636,30.023,-3.47254
6.88,36.6967,8.53261,6.04098,0.971208,6.22778,30.023,-3.33384
6.9,36.7633,8.63266,5.9743,0.996925,6.21851,30.023,-3.20068
6.92,36.8265,8.73328,5.91028,1.02236,6.20513,30.023,-4.33789
6.94,36.8864,8.83417,5.82353,1.04748,6.18553,30.023,-4.16495
6.96,36.943,8.93503,5.74023,1.07223,6.16549,30.023,-3.9986
6.98,36.9962,9.03582,5.66026,1.09663,6.14503,30.023,-3.83888
7,37.0464,9.13646,5.58348,1.12069,6.12418,30.023,-3.68555
7.02,37.0934,9.2369,5.50977,1.14443,6.10295,30.023,-3.53834
7.04,37.1375,9.33711,5.439,1.16787,6.08137,30.023,-3.39701
