t,x,y,v,steer_deg,accel
8.06,26.68,-12.2041,6.82108,-12.8674,-2.96071
8.08,26.5953,-12.3103,6.76186,-23.3814,-3.27032
8.1,26.5097,-12.4141,6.69646,-14.8177,-3.06993
8.12,26.4231,-12.5155,6.63506,-9.10975,-2.88181
8.14,26.3363,-12.6151,6.57742,-22.5855,-3.16829
8.16,26.2489,-12.7125,6.51406,-14.4352,-2.97414
8.18,26.1607,-12.8076,6.45457,-25.5153,-3.22434
8.2,26.0718,-12.9003,6.39009,-16.5458,-3.02676
8.22,25.982,-12.9904,6.32955,-10.5221,-2.84129
8.24,25.8921,-13.0787,6.27273,-24.4857,-3.06648
8.26,25.8017,-13.1648,6.2114,-16.0704,-2.87857
8.28,25.7107,-13.2486,6.15383,-10.3108,-2.70218
8.3,25.6197,-13.3306,6.09978,-25.9155,-2.90029
8.32,25.5283,-13.4105,6.04178,-17.0992,-2.72257
8.34,25.4363,-13.488,5.98732,-29.5515,-2.88152
8.36,25.3437,-13.5631,5.92969,-19.64,-2.70494
8.38,25.2505,-13.6355,5.8756,-12.9772,-2.53919
8.4,25.1573,-13.7062,5.82481,-27.9389,-2.66928
8.42,25.0637,-13.7746,5.77143,-18.8228,-2.50571
8.44,24.9697,-13.8408,5.72131,-12.5408,-2.35217
8.46,24.8757,-13.9052,5.67427,-28.7763,-2.4516
8.48,24.7815,-13.9676,5.62524,-19.5267,-2.30137
8.5,24.6869,-14.0277,5.57921,-13.1273,-2.16035
8.52,24.5924,-14.0862,5.536,-30.1126,-2.22757
8.54,24.4977,-14.1426,5.49145,-20.547,-2.09107
8.56,24.4026,-14.1968,5.44963,-33.5786,-2.11691
8.58,24.3072,-14.2487,5.40729,-24.6984,-1.98719
8.6,24.2116,-14.2982,5.36755,-17.0055,-1.86542
8.62,24.1158,-14.346,5.33024,-31.5539,-1.85802
8.64,24.02,-14.3917,5.29308,-22.6464,-1.74417
8.66,23.9239,-14.4353,5.25819,-15.7501,-1.63729
8.68,23.8278,-14.4773,5.22545,-30.9645,-1.59558
8.7,23.7317,-14.5174,5.19354,-22.2223,-1.49781
8.72,23.6353,-14.5555,5.16358,-15.6311,-1.40603
8.74,23.5391,-14.5921,5.13546,-30.9624,-1.32922
8.76,23.4427,-14.6269,5.10888,-22.4345,-1.24777
8.78,23.3463,-14.6598,5.08392,-15.9497,-1.17131
8.8,23.2498,-14.6912,5.0605,-31.0313,-1.05886
8.82,23.1533,-14.721,5.03932,-22.7035,-0.993977
8.84,23.0566,-14.7488,5.01944,-16.2943,-0.933069
8.86,22.96,-14.7753,5.00078,-30.8828,-0.784693
8.88,22.8633,-14.8001,4.98508,-22.7191,-0.73661
8.9,22.7664,-14.823,4.97035,-16.4497,-0.691472
8.92,22.6695,-14.8446,4.95652,-11.6987,-0.649101
8.94,22.5727,-14.8653,4.94354,-29.0989,-0.467324
8.96,22.4758,-14.8845,4.93419,-21.1015,-0.438688
8.98,22.3788,-14.9021,4.92542,-15.2255,-0.411806
9,22.2817,-14.9184,4.91718,-30.8193,-0.19372
9.02,22.1845,-14.9333,4.91331,-22.652,-0.181849
9.04,22.0872,-14.9463,4.90967,-16.3736,-0.170706
9.06,21.9897,-14.9581,4.90626,-30.5415,0.0832998
9.08,21.8921,-14.9684,4.90792,-22.3929,0.0781954
9.1,21.7943,-14.9769,4.90949,-16.2199,0.0734038
9.12,21.6964,-14.9841,4.91096,-29.1922,0.362799
9.14,21.5983,-14.9899,4.91821,-21.3406,0.340568
9.16,21.4999,-14.9939,4.92502,-15.5318,0.319699
9.18,21.4014,-14.9968,4.93142,-11.0674,0.300108
9.2,21.3027,-14.9988,4.93742,-26.0702,0.625451
9.22,21.2039,-14.9995,4.94993,-19.0726,0.587125
9.24,21.1047,-14.9988,4.96167,-13.7986,0.551148
9.26,21.0054,-14.9969,4.97269,-26.7145,0.910303
9.28,20.9058,-14.9937,4.9909,-19.5691,0.854523
9.3,20.806,-14.9889,5.00799,-14.2018,0.80216
9.32,20.7058,-14.983,5.02403,-25.5459,1.19438
9.34,20.6054,-14.9756,5.04792,-18.8027,1.12119
9.36,20.5046,-14.9667,5.07034,-13.7,1.05249
9.38,20.4035,-14.9566,5.09139,-9.74591,0.987992
9.4,20.302,-14.9457,5.11115,-22.6146,1.41643
9.42,20.2002,-14.9336,5.13948,-16.5818,1.32964
9.44,20.0981,-14.9201,5.16608,-11.9693,1.24816
9.46,19.9955,-14.9055,5.19104,-22.7972,1.70738
9.48,19.8926,-14.8895,5.22519,-16.7363,1.60276
